"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Mumbai Indians","Royal Challengers Bangalore",209,191,"Royal Challengers Bangalore","Field","Mumbai Indians","18 runs","Harbhajan Singh","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Kolkata Knight Riders",146,147,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Umesh Yadav","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Rajasthan Royals","Punjab Kings",191,191,"Punjab Kings","Field","Tied","Tied","Shaun Marsh","Narendra Modi Stadium","Ahmedabad","Neutral"
"Sunrisers Hyderabad","Kolkata Knight Riders",176,101,"Kolkata Knight Riders","Field","Sunrisers Hyderabad","16 runs","David Warner","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",181,154,"Royal Challengers Bangalore","Field","Chennai Super Kings","27 runs","Suresh Raina","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Mumbai Indians",190,153,"Mumbai Indians","Field","Delhi Capitals","37 runs","Shreyas Iyer","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Rajasthan Royals","Royal Challengers Bangalore",130,134,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","9 wickets","Mitchell Starc","Narendra Modi Stadium","Ahmedabad","Neutral"
"Mumbai Indians","Sunrisers Hyderabad",157,137,"Mumbai Indians","Bat","Mumbai Indians","20 runs","Lasith Malinga","Wankhede Stadium","Mumbai","Mumbai Indians"
"Chennai Super Kings","Punjab Kings",192,95,"Chennai Super Kings","Bat","Chennai Super Kings","97 runs","Brendon McCullum","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Delhi Capitals","Royal Challengers Bangalore",95,99,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","10 wickets","Varun Aaron","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Punjab Kings",150,130,"Punjab Kings","Field","Sunrisers Hyderabad","20 runs","Trent Boult","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Chennai Super Kings","Kolkata Knight Riders",134,132,"Kolkata Knight Riders","Field","Chennai Super Kings","2 runs","Dwayne Bravo","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Chennai Super Kings","Kolkata Knight Riders",165,169,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Andre Russell","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Delhi Capitals",118,119,"Delhi Capitals","Field","Delhi Capitals","9 wickets","Nathan Coulter-Nile","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Mumbai Indians","Rajasthan Royals",187,179,"Rajasthan Royals","Field","Mumbai Indians","8 runs","Ambati Rayudu","Wankhede Stadium","Mumbai","Mumbai Indians"
"Sunrisers Hyderabad","Chennai Super Kings",192,170,"Chennai Super Kings","Field","Sunrisers Hyderabad","22 runs","David Warner","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Punjab Kings",172,149,"Mumbai Indians","Bat","Mumbai Indians","23 runs","Lendl Simmons","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Delhi Capitals",189,175,"Delhi Capitals","Field","Rajasthan Royals","14 runs","Ajinkya Rahane","Brabourne Stadium","Mumbai","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",148,124,"Chennai Super Kings","Bat","Chennai Super Kings","24 runs","Suresh Raina","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Kolkata Knight Riders","Sunrisers Hyderabad",167,132,"Sunrisers Hyderabad","Field","Kolkata Knight Riders","35 runs","Umesh Yadav","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Mumbai Indians",152,153,"Delhi Capitals","Bat","Mumbai Indians","5 wickets","Harbhajan Singh","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Punjab Kings",226,88,"Punjab Kings","Field","Royal Challengers Bangalore","138 runs","Chris Gayle","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Sunrisers Hyderabad","Rajasthan Royals",201,194,"Rajasthan Royals","Field","Sunrisers Hyderabad","7 runs","Eoin Morgan","Brabourne Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Delhi Capitals",171,158,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","13 runs","Piyush Chawla","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Chennai Super Kings","Mumbai Indians",158,159,"Chennai Super Kings","Bat","Mumbai Indians","6 wickets","Hardik Pandya","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Punjab Kings","Kolkata Knight Riders",183,184,"Punjab Kings","Bat","Kolkata Knight Riders","1 wicket","Andre Russell","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Delhi Capitals",163,157,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","6 runs","Moises Henriques","Shaheed Veer Narayan Singh International Stadium","Raipur","Neutral"
"Royal Challengers Bangalore","Mumbai Indians",235,196,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","39 runs","AB de Villiers","Wankhede Stadium","Mumbai","Mumbai Indians"
"Chennai Super Kings","Rajasthan Royals",157,145,"Chennai Super Kings","Bat","Chennai Super Kings","12 runs","Ravindra Jadeja","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Sunrisers Hyderabad","Punjab Kings",185,180,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","5 runs","David Warner","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Chennai Super Kings","Delhi Capitals",119,120,"Chennai Super Kings","Bat","Delhi Capitals","6 wickets","Zaheer Khan","Shaheed Veer Narayan Singh International Stadium","Raipur","Neutral"
"Mumbai Indians","Kolkata Knight Riders",171,166,"Kolkata Knight Riders","Field","Mumbai Indians","5 runs","Hardik Pandya","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Chennai Super Kings",130,134,"Punjab Kings","Bat","Chennai Super Kings","7 wickets","Pawan Negi","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",199,190,"Rajasthan Royals","Bat","Rajasthan Royals","9 runs","Shane Watson","Brabourne Stadium","Mumbai","Neutral"
"Sunrisers Hyderabad","Mumbai Indians",113,114,"Sunrisers Hyderabad","Bat","Mumbai Indians","9 wickets","Mitchell McClenaghan","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Chennai Super Kings",187,162,"Mumbai Indians","Bat","Mumbai Indians","25 runs","Kieron Pollard","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Rajasthan Royals",180,109,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","71 runs","AB de Villiers","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",139,140,"Chennai Super Kings","Field","Chennai Super Kings","3 wickets","Ashish Nehra","JSCA International Stadium Complex","Ranchi","Neutral"
"Mumbai Indians","Chennai Super Kings",202,161,"Chennai Super Kings","Field","Mumbai Indians","41 runs","Rohit Sharma","Eden Gardens","Kolkata","Neutral"
"Kolkata Knight Riders","Mumbai Indians",163,122,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","41 runs","Jacques Kallis","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Delhi Capitals","Royal Challengers Bangalore",145,146,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","8 wickets","Yuzvendra Chahal","Sharjah Cricket Stadium","Sharjah","Neutral"
"Chennai Super Kings","Punjab Kings",205,206,"Chennai Super Kings","Bat","Punjab Kings","6 wickets","Glenn Maxwell","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",133,135,"Rajasthan Royals","Field","Rajasthan Royals","4 wickets","Ajinkya Rahane","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Mumbai Indians","Royal Challengers Bangalore",115,116,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","7 wickets","Parthiv Patel","Dubai International Cricket Stadium","Dubai","Neutral"
"Kolkata Knight Riders","Delhi Capitals",166,167,"Kolkata Knight Riders","Bat","Delhi Capitals","4 wickets","Jean-Paul Duminy","Dubai International Cricket Stadium","Dubai","Neutral"
"Rajasthan Royals","Punjab Kings",191,193,"Punjab Kings","Field","Punjab Kings","7 wickets","Glenn Maxwell","Sharjah Cricket Stadium","Sharjah","Neutral"
"Chennai Super Kings","Delhi Capitals",177,84,"Chennai Super Kings","Bat","Chennai Super Kings","93 runs","Suresh Raina","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Punjab Kings","Sunrisers Hyderabad",193,121,"Sunrisers Hyderabad","Field","Punjab Kings","72 runs","Glenn Maxwell","Sharjah Cricket Stadium","Sharjah","Neutral"
"Chennai Super Kings","Rajasthan Royals",140,133,"Rajasthan Royals","Field","Chennai Super Kings","7 runs","Ravindra Jadeja","Dubai International Cricket Stadium","Dubai","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",150,148,"Royal Challengers Bangalore","Field","Kolkata Knight Riders","2 runs","Chris Lynn","Sharjah Cricket Stadium","Sharjah","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",184,180,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","4 runs","Aaron Finch","Dubai International Cricket Stadium","Dubai","Neutral"
"Mumbai Indians","Chennai Super Kings",141,142,"Mumbai Indians","Bat","Chennai Super Kings","7 wickets","Mohit Sharma","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Rajasthan Royals",70,71,"Rajasthan Royals","Field","Rajasthan Royals","6 wickets","Pravin Tambe","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Punjab Kings","Kolkata Knight Riders",132,109,"Kolkata Knight Riders","Field","Punjab Kings","23 runs","Sandeep Sharma","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Mumbai Indians","Delhi Capitals",125,126,"Mumbai Indians","Bat","Delhi Capitals","6 wickets","Murali Vijay","Sharjah Cricket Stadium","Sharjah","Neutral"
"Sunrisers Hyderabad","Chennai Super Kings",145,146,"Sunrisers Hyderabad","Bat","Chennai Super Kings","5 wickets","Dwayne Smith","Sharjah Cricket Stadium","Sharjah","Neutral"
"Royal Challengers Bangalore","Punjab Kings",124,127,"Punjab Kings","Field","Punjab Kings","5 wickets","Sandeep Sharma","Dubai International Cricket Stadium","Dubai","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",152,152,"Rajasthan Royals","Bat","Tied","Tied","James Faulkner","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Sunrisers Hyderabad","Mumbai Indians",172,157,"Mumbai Indians","Field","Sunrisers Hyderabad","15 runs","Bhuvneshwar Kumar","Dubai International Cricket Stadium","Dubai","Neutral"
"Punjab Kings","Mumbai Indians",168,170,"Punjab Kings","Bat","Mumbai Indians","5 wickets","Corey Anderson","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Rajasthan Royals",152,156,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Karun Nair","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Royal Challengers Bangalore",155,158,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","4 wickets","AB de Villiers","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Rajasthan Royals","Kolkata Knight Riders",170,160,"Kolkata Knight Riders","Field","Rajasthan Royals","10 runs","Pravin Tambe","Narendra Modi Stadium","Ahmedabad","Neutral"
"Delhi Capitals","Chennai Super Kings",178,181,"Chennai Super Kings","Field","Chennai Super Kings","8 wickets","Dwayne Smith","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Mumbai Indians","Royal Challengers Bangalore",187,168,"Royal Challengers Bangalore","Field","Mumbai Indians","19 runs","Rohit Sharma","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Kolkata Knight Riders",160,161,"Delhi Capitals","Bat","Kolkata Knight Riders","8 wickets","Gautam Gambhir","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Punjab Kings","Chennai Super Kings",231,187,"Chennai Super Kings","Field","Punjab Kings","44 runs","Glenn Maxwell","Barabati Stadium","Cuttack","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",134,102,"Rajasthan Royals","Field","Sunrisers Hyderabad","32 runs","Bhuvneshwar Kumar","Narendra Modi Stadium","Ahmedabad","Neutral"
"Punjab Kings","Royal Challengers Bangalore",198,166,"Royal Challengers Bangalore","Field","Punjab Kings","32 runs","Sandeep Sharma","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Sunrisers Hyderabad",143,44,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","8 wickets","Dale Steyn","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Mumbai Indians","Chennai Super Kings",157,160,"Chennai Super Kings","Field","Chennai Super Kings","4 wickets","Dwayne Smith","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Kolkata Knight Riders",149,150,"Kolkata Knight Riders","Field","Kolkata Knight Riders","9 wickets","Gautam Gambhir","Barabati Stadium","Cuttack","Neutral"
"Royal Challengers Bangalore","Rajasthan Royals",190,191,"Royal Challengers Bangalore","Bat","Rajasthan Royals","5 wickets","James Faulkner","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Sunrisers Hyderabad","Mumbai Indians",157,160,"Sunrisers Hyderabad","Bat","Mumbai Indians","7 wickets","Ambati Rayudu","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Rajasthan Royals","Chennai Super Kings",148,149,"Rajasthan Royals","Bat","Chennai Super Kings","5 wickets","Ravindra Jadeja","JSCA International Stadium Complex","Ranchi","Neutral"
"Royal Challengers Bangalore","Delhi Capitals",186,170,"Delhi Capitals","Field","Royal Challengers Bangalore","16 runs","Yuvraj Singh","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Sunrisers Hyderabad","Punjab Kings",205,211,"Punjab Kings","Field","Punjab Kings","6 wickets","Wriddhiman Saha","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Kolkata Knight Riders",141,142,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Robin Uthappa","Barabati Stadium","Cuttack","Neutral"
"Rajasthan Royals","Delhi Capitals",201,139,"Delhi Capitals","Field","Rajasthan Royals","62 runs","Ajinkya Rahane","Narendra Modi Stadium","Ahmedabad","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",138,142,"Chennai Super Kings","Bat","Royal Challengers Bangalore","5 wickets","AB de Villiers","JSCA International Stadium Complex","Ranchi","Neutral"
"Sunrisers Hyderabad","Kolkata Knight Riders",142,146,"Sunrisers Hyderabad","Bat","Kolkata Knight Riders","7 wickets","Umesh Yadav","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Rajasthan Royals",178,153,"Mumbai Indians","Bat","Mumbai Indians","25 runs","Michael Hussey","Narendra Modi Stadium","Ahmedabad","Neutral"
"Delhi Capitals","Punjab Kings",164,165,"Punjab Kings","Field","Punjab Kings","4 wickets","Axar Patel","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Royal Challengers Bangalore","Sunrisers Hyderabad",160,161,"Royal Challengers Bangalore","Bat","Sunrisers Hyderabad","7 wickets","David Warner","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Chennai Super Kings","Kolkata Knight Riders",154,156,"Kolkata Knight Riders","Field","Kolkata Knight Riders","8 wickets","Robin Uthappa","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Mumbai Indians",156,159,"Mumbai Indians","Field","Mumbai Indians","7 wickets","Lendl Simmons","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",195,165,"Royal Challengers Bangalore","Field","Kolkata Knight Riders","30 runs","Robin Uthappa","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Chennai Super Kings","Sunrisers Hyderabad",185,189,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","6 wickets","David Warner","JSCA International Stadium Complex","Ranchi","Neutral"
"Mumbai Indians","Delhi Capitals",173,158,"Delhi Capitals","Field","Mumbai Indians","15 runs","Michael Hussey","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Rajasthan Royals",179,163,"Rajasthan Royals","Field","Punjab Kings","16 runs","Shaun Marsh","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",154,160,"Chennai Super Kings","Field","Chennai Super Kings","8 wickets","MS Dhoni","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Sunrisers Hyderabad","Kolkata Knight Riders",160,161,"Kolkata Knight Riders","Field","Kolkata Knight Riders","4 wickets","Yusuf Pathan","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Punjab Kings",115,119,"Punjab Kings","Field","Punjab Kings","7 wickets","Manan Vohra","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Mumbai Indians",189,195,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Corey Anderson","Wankhede Stadium","Mumbai","Mumbai Indians"
"Kolkata Knight Riders","Punjab Kings",163,135,"Punjab Kings","Field","Kolkata Knight Riders","28 runs","Umesh Yadav","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Chennai Super Kings",173,176,"Chennai Super Kings","Field","Chennai Super Kings","7 wickets","Suresh Raina","Brabourne Stadium","Mumbai","Neutral"
